log,no_distinct_traces,no_total_traces,avg_trace_length,avg_event_repetition_intra_trace,no_distinct_events,no_events_total,no_distinct_start,no_distinct_end,density,length_one_loops,total_no_activities,percentage_concurrency,percentage_sequence,dfg_mean_variable_degree,dfg_variation_coefficient_variable_degree,dfg_min_variable_degree,dfg_max_variable_degree,dfg_entropy_variable_degree,dfg_wcc_min,dfg_wcc_max
2696091329,8.0,1008.0,0.0248015873015873,0.000992063492063492,9.0,3025.0,3.0,1.0,0.30864197530864196,0.1111111111111111,9,0.012345679012345678,0.14814814814814814,3.090909090909091,0.6389870877176598,1,8,2.2262113613097068,0.0,0.0
44748299,8.0,1011.0,0.032640949554896145,0.0009891196834817012,9.0,4045.0,2.0,3.0,0.30864197530864196,0.1111111111111111,9,0.037037037037037035,0.13580246913580246,3.4545454545454546,0.5966202130923491,2,8,2.2438792834498416,0.05323040900536806,0.05323040900536806
1599037190,7.0,1267.0,0.02367797947908445,0.0015785319652722968,7.0,5070.0,3.0,2.0,0.3469387755102041,0.14285714285714285,7,0.061224489795918366,0.14285714285714285,3.3333333333333335,0.4898979485566356,2,7,2.089511074111306,0.1252460154709642,0.1252460154709642
3312542026,31.0,1121.0,0.3220338983050847,1.9420160570918823,29.0,12271.0,2.0,5.0,0.09036860879904875,0.06896551724137931,29,0.011890606420927468,0.04280618311533888,3.4193548387096775,0.7269662207286222,2,11,3.2265946563849814,0.0002638248803441019,0.0002638248803441019
3332290715,123.0,1067.0,2.114339268978444,4.360824742268041,28.0,15886.0,3.0,1.0,0.10714285714285714,0.21428571428571427,28,0.012755102040816327,0.04974489795918367,3.533333333333333,0.7619932266531575,1,12,3.17170218546361,0.006874613118931464,0.006874613118931464
2624920552,5.0,1480.0,0.007432432432432433,0.0006756756756756757,5.0,2961.0,4.0,1.0,0.36,0.2,5,0.04,0.16,2.857142857142857,0.47434164902525694,1,5,1.830910896829526,0.0,0.0
2671600051,2.0,1185.0,0.002531645569620253,0.0016877637130801688,1.0,1187.0,1.0,1.0,1.0,1.0,1,1.0,0.0,2.0,0.7071067811865476,1,4,0.8675632284814612,0.0,0.0
2009812625,10.0,1222.0,0.06382978723404255,1.400163666121113,10.0,8440.0,1.0,1.0,0.23,0.1,10,0.05,0.1,2.8333333333333335,0.5161743757289483,1,5,2.3524177363045484,0.000522360073792526,0.000522360073792526
1712228818,44.0,1224.0,0.5106209150326797,2.230392156862745,20.0,8533.0,2.0,4.0,0.15,0.0,20,0.0,0.075,3.272727272727273,0.6718548123582123,2,11,2.9171830059936408,0.0,0.0
3975214686,5.0,1363.0,0.005135730007336757,0.001467351430667645,4.0,1366.0,3.0,4.0,0.1875,0.25,4,0.0625,0.0625,3.0,0.38490017945975047,2,5,1.7210891492287168,0.0,0.0
322940839,28.0,1468.0,0.26907356948228883,0.4373297002724796,43.0,19451.0,2.0,3.0,0.0638182801514332,0.0,43,0.005408328826392645,0.030827474310438075,3.2,0.47324236215002285,2,7,3.704818824612794,0.005157685125893346,0.005157685125893346
350971820,25.0,1472.0,0.15353260869565216,0.0006793478260869565,27.0,13249.0,2.0,3.0,0.1440329218106996,0.037037037037037035,27,0.01783264746227709,0.06310013717421124,4.413793103448276,0.9111532227416529,2,13,3.0254197773983345,0.018426573302837417,0.018426573302837417
1006755718,7.0,1494.0,0.020080321285140562,0.0006693440428380187,9.0,5978.0,3.0,1.0,0.2839506172839506,0.1111111111111111,9,0.012345679012345678,0.13580246913580246,2.909090909090909,0.5376453291901642,1,7,2.2708961693636502,0.0004641626315666836,0.0004641626315666836
1908254161,14.0,1377.0,0.06172839506172839,1.458242556281772,9.0,6837.0,1.0,2.0,0.24691358024691357,0.4444444444444444,9,0.12345679012345678,0.08641975308641975,3.6363636363636362,0.8231038816577163,1,12,2.131924087846765,0.000498523172295202,0.000498523172295202
531398072,102.0,1401.0,1.150606709493219,0.894361170592434,29.0,8971.0,2.0,6.0,0.10107015457788347,0.10344827586206896,29,0.0035671819262782403,0.04875148632580262,3.3548387096774195,0.5540330881110744,2,8,3.2976117598848957,0.0009279047688623116,0.0009279047688623116
2888724393,6.0,1210.0,0.012396694214876033,0.0024793388429752068,5.0,2424.0,2.0,3.0,0.4,0.4,5,0.08,0.16,3.142857142857143,0.4937627496000098,2,6,1.8347351493572832,0.0,0.0
2410453912,4.0,1174.0,0.005110732538330494,0.0008517887563884157,3.0,1176.0,2.0,3.0,0.3333333333333333,0.3333333333333333,3,0.1111111111111111,0.1111111111111111,2.8,0.41649656391752143,2,5,1.5317780787913653,0.0,0.0
1707090652,59.0,1459.0,0.7292666209732693,2.3056888279643593,32.0,23077.0,2.0,2.0,0.111328125,0.0625,32,0.015625,0.048828125,4.117647058823529,0.7184166263245806,2,12,3.298177169387083,0.019312662418411747,0.019312662418411747
1513328011,3.0,1122.0,0.004456327985739751,0.00089126559714795,2.0,1124.0,1.0,2.0,0.75,0.5,2,0.25,0.25,2.5,0.6,1,5,1.2206072645530175,0.0,0.0
3434797254,19.0,1445.0,0.10657439446366782,0.0006920415224913495,24.0,11562.0,2.0,3.0,0.13368055555555555,0.041666666666666664,24,0.005208333333333333,0.0642361111111111,3.4615384615384617,0.7736397860235203,2,11,3.024656218462601,0.004700396907746604,0.004700396907746604
3857731324,7.0,1074.0,0.015828677839851025,0.00186219739292365,7.0,2152.0,2.0,4.0,0.30612244897959184,0.14285714285714285,7,0.02040816326530612,0.14285714285714285,3.111111111111111,0.5555838995037159,2,7,2.063222216719611,0.0006372642503237828,0.0006372642503237828
3463375453,5.0,1020.0,0.0058823529411764705,0.0,5.0,1021.0,4.0,5.0,0.08,0.0,5,0.0,0.04,2.857142857142857,0.39370039370059057,2,5,1.874063207697293,0.0,0.0
3746522848,15.0,1387.0,0.05695746214852199,0.0014419610670511895,12.0,6939.0,1.0,3.0,0.2916666666666667,0.16666666666666666,12,0.05555555555555555,0.125,4.285714285714286,0.7859884081701065,1,10,2.358564244051167,0.09728953378829346,0.09728953378829346
3381361286,89.0,1470.0,0.7272108843537415,0.0,30.0,17641.0,1.0,2.0,0.16666666666666666,0.0,30,0.04,0.06333333333333334,6.0,0.9013878188659974,1,17,3.086514309631151,0.04349894083371529,0.04349894083371529
1350183626,8.0,1310.0,0.03816793893129771,0.0,13.0,7862.0,2.0,2.0,0.20118343195266272,0.0,13,0.0,0.10059171597633136,2.8,0.41649656391752155,2,5,2.6303903674594746,0.000333761640445755,0.000333761640445755
2857922389,16.0,1067.0,0.15089034676663543,0.0009372071227741331,23.0,10671.0,3.0,3.0,0.11909262759924386,0.043478260869565216,23,0.001890359168241966,0.05860113421550094,3.04,0.42105263157894735,2,6,3.1380809900497386,0.0,0.0
3596755412,4.0,1381.0,0.003620564808110065,0.000724112961622013,3.0,1382.0,3.0,3.0,0.1111111111111111,0.3333333333333333,3,0.1111111111111111,0.0,2.8,0.2672612419124244,2,4,1.5740973368489728,0.0,0.0
2870637019,10.0,1464.0,0.01707650273224044,0.0020491803278688526,9.0,2934.0,4.0,2.0,0.2962962962962963,0.2222222222222222,9,0.024691358024691357,0.13580246913580246,3.4545454545454546,0.7841928645132282,2,10,2.1560883808627587,0.0011696535411749006,0.0011696535411749006
1233075246,21.0,1050.0,0.26476190476190475,0.0019047619047619048,26.0,13655.0,3.0,2.0,0.12721893491124261,0.07692307692307693,26,0.014792899408284023,0.05621301775147929,3.7857142857142856,0.6288993702829796,2,10,3.1596915620408903,0.02237164620454572,0.02237164620454572
2207458125,186.0,1226.0,2.8058727569331157,0.4265905383360522,63.0,19039.0,3.0,2.0,0.047367094986142604,0.0,63,0.0005039052658100278,0.02343159486016629,3.076923076923077,0.5012484413940855,2,9,4.066672084123336,0.0001307422537079785,0.0001307422537079785
